gene,png,n_tx
ANKRD13A,ANKRD13A.png,3
ANKRD13C,ANKRD13C.png,12
ANKRD17,ANKRD17.png,19
ANKRD2,ANKRD2.png,1
ANKRD23,ANKRD23.png,9
ANKRD26,ANKRD26.png,4
ANKRD27,ANKRD27.png,10
ANKRD28,ANKRD28.png,3
ANKRD29,ANKRD29.png,2
ANKRD33B,ANKRD33B.png,2
ANKRD34A,ANKRD34A.png,1
ANKRD34C,ANKRD34C.png,2
ANKRD36BP1,ANKRD36BP1.png,1
ANKRD37,ANKRD37.png,1
ANKRD39,ANKRD39.png,1
ANKRD40,ANKRD40.png,3
ANKRD42,ANKRD42.png,3
ANKRD44,ANKRD44.png,1
ANKRD46,ANKRD46.png,7
ANKRD49,ANKRD49.png,3
ANKRD50,ANKRD50.png,5
ANKRD52,ANKRD52.png,1
ANKRD54,ANKRD54.png,3
ANKRD6,ANKRD6.png,3
ANKRD9,ANKRD9.png,6
ANKS1A,ANKS1A.png,10
ANKS1B,ANKS1B.png,1
ANKZF1,ANKZF1.png,2
ANLN,ANLN.png,1
ANO1,ANO1.png,5
ANO10,ANO10.png,3
ANO5,ANO5.png,15
ANO6,ANO6.png,12
ANO7,ANO7.png,1
ANOS1,ANOS1.png,2
ANP32A,ANP32A.png,6
ANP32B,ANP32B.png,2
ANP32E,ANP32E.png,10
ANPEP,ANPEP.png,1
ANTXR1,ANTXR1.png,5
ANTXR2,ANTXR2.png,10
ANXA1,ANXA1.png,1
ANXA11,ANXA11.png,40
ANXA2,ANXA2.png,2
ANXA3,ANXA3.png,4
ANXA4,ANXA4.png,3
ANXA5,ANXA5.png,4
ANXA6,ANXA6.png,15
ANXA7,ANXA7.png,12
AOC1,AOC1.png,3
AOC3,AOC3.png,3
AOPEP,AOPEP.png,8
AOX1,AOX1.png,2
AP1AR,AP1AR.png,1
AP1B1,AP1B1.png,12
AP1G1,AP1G1.png,4
AP1M1,AP1M1.png,4
AP1S1,AP1S1.png,1
AP1S2,AP1S2.png,11
AP2A1,AP2A1.png,3
AP2A2,AP2A2.png,2
AP2B1,AP2B1.png,16
AP2M1,AP2M1.png,6
AP2S1,AP2S1.png,1
AP3B1,AP3B1.png,5
AP3D1,AP3D1.png,13
AP3M1,AP3M1.png,13
AP3M2,AP3M2.png,7
AP3S1,AP3S1.png,2
AP3S2,AP3S2.png,17
AP4B1,AP4B1.png,5
AP4E1,AP4E1.png,2
AP4M1,AP4M1.png,1
AP5B1,AP5B1.png,2
AP5M1,AP5M1.png,13
AP5S1,AP5S1.png,3
AP5Z1,AP5Z1.png,1
APBA3,APBA3.png,2
APBB1,APBB1.png,6
APBB1IP,APBB1IP.png,1
APBB2,APBB2.png,12
APBB3,APBB3.png,1
APC,APC.png,15
APCDD1,APCDD1.png,2
APEH,APEH.png,10
APEX1,APEX1.png,3
APEX2,APEX2.png,1
APH1A,APH1A.png,2
API5,API5.png,11
APIP,APIP.png,1
APLF,APLF.png,1
APLN,APLN.png,3
APLNR,APLNR.png,1
APLP1,APLP1.png,3
APLP2,APLP2.png,16
APMAP,APMAP.png,2
APOA1,APOA1.png,3
APOB,APOB.png,9
APOBEC2,APOBEC2.png,2
APOBEC3C,APOBEC3C.png,3
APOD,APOD.png,1
APOL1,APOL1.png,2
APOL2,APOL2.png,3
APOL3,APOL3.png,2
APOL4,APOL4.png,2
APOLD1,APOLD1.png,3
APOO,APOO.png,1
APOOL,APOOL.png,2
APP,APP.png,16
APPBP2,APPBP2.png,4
APPL1,APPL1.png,25
APPL2,APPL2.png,5
APRT,APRT.png,1
APTR,APTR.png,3
APTX,APTX.png,7
AQP1,AQP1.png,6
AQP11,AQP11.png,2
AQP3,AQP3.png,1
AQP4,AQP4.png,4
AQP7,AQP7.png,19
AQP7P1,AQP7P1.png,7
AQP7P2,AQP7P2.png,1
AQP7P3,AQP7P3.png,4
AQP7P4,AQP7P4.png,1
AQR,AQR.png,6
AR,AR.png,4
ARAF,ARAF.png,5
ARAP1,ARAP1.png,7
ARAP3,ARAP3.png,5
ARC,ARC.png,1
ARCN1,ARCN1.png,7
AREG,AREG.png,1
AREL1,AREL1.png,5
ARF1,ARF1.png,3
ARF3,ARF3.png,2
ARF4,ARF4.png,2
ARF5,ARF5.png,1
ARF6,ARF6.png,6
ARFGAP1,ARFGAP1.png,2
ARFGAP2,ARFGAP2.png,4
ARFGAP2_PACSIN3,ARFGAP2_PACSIN3.png,2
ARFGAP3,ARFGAP3.png,4
ARFGEF1,ARFGEF1.png,4
ARFGEF2,ARFGEF2.png,9
ARFGEF3,ARFGEF3.png,3
ARFIP1,ARFIP1.png,5
ARFIP2,ARFIP2.png,2
ARFRP1,ARFRP1.png,3
ARGLU1,ARGLU1.png,3
ARHGAP1,ARHGAP1.png,13
ARHGAP10,ARHGAP10.png,20
ARHGAP12,ARHGAP12.png,14
ARHGAP17,ARHGAP17.png,11
ARHGAP18,ARHGAP18.png,1
ARHGAP19,ARHGAP19.png,1
ARHGAP21,ARHGAP21.png,1
ARHGAP23,ARHGAP23.png,1
ARHGAP24,ARHGAP24.png,4
ARHGAP25,ARHGAP25.png,1
ARHGAP27,ARHGAP27.png,9
ARHGAP29,ARHGAP29.png,11
ARHGAP31,ARHGAP31.png,5
ARHGAP35,ARHGAP35.png,4
ARHGAP39,ARHGAP39.png,1
ARHGAP4,ARHGAP4.png,2
ARHGAP42,ARHGAP42.png,2
ARHGAP44,ARHGAP44.png,2
ARHGAP45,ARHGAP45.png,1
ARHGAP5,ARHGAP5.png,25
ARHGAP5-AS1,ARHGAP5-AS1.png,3
ARHGDIA,ARHGDIA.png,3
ARHGDIB,ARHGDIB.png,1
ARHGDIG,ARHGDIG.png,1
ARHGEF1,ARHGEF1.png,4
ARHGEF10,ARHGEF10.png,1
ARHGEF10L,ARHGEF10L.png,9
ARHGEF12,ARHGEF12.png,9
ARHGEF15,ARHGEF15.png,7
ARHGEF17,ARHGEF17.png,4
ARHGEF18,ARHGEF18.png,3
ARHGEF19,ARHGEF19.png,1
ARHGEF2,ARHGEF2.png,12
ARHGEF26,ARHGEF26.png,1
ARHGEF28,ARHGEF28.png,2
ARHGEF3,ARHGEF3.png,7
ARHGEF35,ARHGEF35.png,1
ARHGEF35-AS1,ARHGEF35-AS1.png,1
ARHGEF37,ARHGEF37.png,8
ARHGEF40,ARHGEF40.png,4
ARHGEF6,ARHGEF6.png,23
ARHGEF7,ARHGEF7.png,10
ARHGEF9,ARHGEF9.png,20
ARID1A,ARID1A.png,1
ARID1B,ARID1B.png,8
ARID2,ARID2.png,2
ARID3B,ARID3B.png,1
ARID4A,ARID4A.png,3
ARID4B,ARID4B.png,5
ARID5A,ARID5A.png,8
ARID5B,ARID5B.png,4
ARIH1,ARIH1.png,12
ARIH2,ARIH2.png,28
ARL1,ARL1.png,11
ARL10,ARL10.png,1
ARL13B,ARL13B.png,1
ARL14EP,ARL14EP.png,7
ARL15,ARL15.png,2
ARL17A,ARL17A.png,4
ARL2,ARL2.png,1
ARL2BP,ARL2BP.png,3
ARL3,ARL3.png,2
ARL4A,ARL4A.png,8
ARL4C,ARL4C.png,1
ARL4D,ARL4D.png,1
ARL5A,ARL5A.png,5
ARL5B,ARL5B.png,4
ARL6,ARL6.png,4
ARL6IP1,ARL6IP1.png,1
ARL6IP4,ARL6IP4.png,5
ARL6IP5,ARL6IP5.png,6
ARL6IP6,ARL6IP6.png,1
ARL8A,ARL8A.png,1
ARL8B,ARL8B.png,11
ARMC1,ARMC1.png,6
ARMC10,ARMC10.png,6
ARMC2,ARMC2.png,1
ARMC5,ARMC5.png,5
ARMC6,ARMC6.png,5
ARMC7,ARMC7.png,1
ARMC8,ARMC8.png,11
ARMCX1,ARMCX1.png,2
ARMCX2,ARMCX2.png,12
ARMCX3,ARMCX3.png,9
ARMCX5,ARMCX5.png,4
ARMCX5-GPRASP2,ARMCX5-GPRASP2.png,4
ARMCX6,ARMCX6.png,2
ARMH3,ARMH3.png,15
ARMH3_KCNIP2,ARMH3_KCNIP2.png,1
ARMH4,ARMH4.png,5
ARMT1,ARMT1.png,4
ARNT,ARNT.png,15
ARNT2,ARNT2.png,1
ARPC1A,ARPC1A.png,2
ARPC1B,ARPC1B.png,3
ARPC2,ARPC2.png,3
ARPC3,ARPC3.png,1
ARPC4,ARPC4.png,1
